Nombre del municipio;Porcentaje 1996;Porcentaje 2001;Porcentaje 2006;Porcentaje 2010;Porcentaje 2011;Porcentaje 2013;Porcentaje 2014;Porcentaje 2015;Porcentaje 2016Abadiño;29.09;0.0;34.82;43.26;56.11;;57.59;58.47;58.78;59.42
Abaltzisketa;20.66;0.0;22.76;31.03;43.53;;49.1;48.75;50.18;50.18
Abanto y Ciérvana-Abanto Zierbena;31.0;0.0;35.43;44.64;55.96;;58.27;59.47;60.05;61.09
Aduna;23.99;0.0;31.1;38.63;53.21;;59.9;60.1;62.11;62.89
Aia;18.05;0.0;21.02;36.43;51.44;;54.52;55.68;55.75;56.58
Aizarnazabal;17.47;0.0;20.16;36.59;46.39;;49.92;50.4;50.4;51.51
Albiztur;14.81;0.0;27.07;36.5;49.82;;51.35;53.85;53.91;52.12
Alegia;31.71;0.0;26.61;42.36;53.51;;55.62;55.83;55.92;55.51
Alegría-Dulantzi;31.38;0.0;39.62;50.74;65.19;;65.36;65.71;65.73;66.05
Alkiza;18.91;0.0;24.79;38.83;52.07;;55.74;57.34;54.76;56.36
Alonsotegi;27.88;0.0;31.59;39.8;52.17;;54.15;54.59;55.77;56.96
Altzaga;19.54;0.0;27.17;50.39;54.48;;61.03;60.87;65.28;63.38
Altzo;27.62;0.0;30.99;47.99;59.7;;62.46;61.09;62.13;63.49
Amezketa;15.68;0.0;21.28;25.77;37.49;;39.9;40.48;42.49;41.8
Amorebieta-Etxano;37.08;0.0;41.41;47.44;58.16;;60.81;61.22;61.89;62.93
Amoroto;21.57;0.0;27.43;32.22;47.06;;49.72;50.96;51.78;53.48
Amurrio;36.59;0.0;39.34;46.42;57.78;;59.69;60.51;60.71;61.81
Andoain;34.5;0.0;35.83;46.22;55.05;;56.99;57.39;57.94;58.71
Anoeta;30.26;0.0;32.17;42.23;53.17;;55.98;56.49;58.05;58.26
Aramaio;34.02;0.0;43.06;48.04;60.18;;63.62;64.61;64.88;65.27
Areatza;32.7;0.0;39.98;47.93;59.11;;60.59;62.84;63.75;64.15
Armiñón;34.88;0.0;39.22;38.26;53.81;;63.68;60.91;66.15;64.06
Arraia-Maeztu;24.62;0.0;30.29;37.59;51.28;;55.14;56.25;56.06;56.7
Arrasate/Mondragón;41.16;0.0;39.3;47.16;57.06;;59.44;59.74;60.3;61.18
Arratzu;30.56;0.0;37.39;46.65;56.25;;61.36;63.16;64.46;66.58
Arrieta;24.15;0.0;34.31;45.49;56.13;;61.22;64.02;65.05;66.34
Arrigorriaga;34.38;0.0;36.61;48.12;59.42;;61.0;61.55;62.22;62.37
Artzentales;29.6;0.0;37.42;47.65;57.14;;59.73;60.61;60.48;61.54
Asparrena;26.71;0.0;32.28;37.57;48.48;;51.86;52.04;52.48;54.35
Asteasu;20.07;0.0;30.12;35.55;49.07;;52.21;52.43;53.59;54.8
Ataun;30.68;0.0;35.25;43.92;53.62;;56.98;58.73;58.53;59.02
Atxondo;21.04;0.0;28.96;37.36;50.31;;52.08;52.75;52.94;53.8
Aulesti;24.76;0.0;30.83;38.63;53.16;;55.24;57.26;57.79;59.06
Ayala/Aiara;31.04;0.0;36.86;47.95;60.06;;62.55;63.13;63.75;64.35
Azkoitia;31.11;0.0;33.84;40.49;50.56;;53.36;53.79;54.96;56.09
Azpeitia;31.79;0.0;34.59;41.49;52.43;;54.59;55.28;56.03;57.11
Añana;23.44;0.0;25.82;26.44;37.35;;44.87;46.11;45.91;46.34
Baliarrain;7.06;0.0;20.43;25.0;42.72;;51.43;53.77;57.5;56.9
Balmaseda;31.65;0.0;32.98;42.11;53.51;;56.37;56.65;57.4;58.04
Barakaldo;27.94;0.0;32.33;37.85;53.29;;55.4;55.95;56.43;57.06
Basauri;30.98;0.0;32.02;47.05;54.03;;55.06;55.49;56.03;56.76
Baños de Ebro/Mañueta;18.06;0.0;23.61;27.47;36.07;;39.14;41.69;42.33;42.67
Beasain;37.63;0.0;39.06;48.47;58.19;;60.01;60.58;60.89;61.55
Bedia;27.52;0.0;33.15;42.92;51.75;;56.99;57.84;59.32;60.45
Beizama;17.31;0.0;25.0;38.22;49.08;;45.38;51.3;53.57;55.75
Belauntza;26.74;0.0;32.59;40.81;48.09;;45.28;48.81;46.53;49.37
Berantevilla;30.57;0.0;43.22;37.76;49.89;;55.86;56.98;54.48;56.88
Berastegi;16.47;0.0;26.37;31.12;44.61;;48.65;50.16;50.27;51.43
Bergara;39.06;0.0;40.8;48.8;59.55;;61.79;62.43;63.25;63.71
Bermeo;31.23;0.0;32.39;40.31;52.6;;55.41;56.18;56.75;57.57
Bernedo;25.86;0.0;28.96;33.58;43.36;;49.16;50.59;51.91;51.35
Berriatua;27.06;0.0;30.22;39.84;46.78;;52.97;52.66;52.9;53.64
Berriz;31.52;0.0;35.41;44.35;53.56;;55.58;55.5;56.54;56.94
Berrobi;12.35;0.0;26.13;28.1;44.98;;49.31;50.39;52.01;51.98
Bidania-Goiatz;17.89;0.0;18.44;34.77;49.13;;53.2;54.53;56.43;57.14
Busturia;37.96;0.0;41.71;52.94;61.64;;62.08;62.35;62.75;64.38
Campezo/Kanpezu;22.57;0.0;26.47;35.09;46.95;;48.58;49.54;51.7;51.93
Deba;38.07;0.0;42.07;49.7;60.43;;62.47;63.17;64.22;65.04
Derio;36.24;0.0;36.3;45.36;55.34;;59.5;60.76;61.81;62.73
Ea;37.4;0.0;40.44;52.44;62.93;;61.88;62.48;62.74;64.39
Eibar;37.09;0.0;39.9;47.66;55.67;;57.51;58.21;58.97;59.53
Elantxobe;32.71;0.0;36.41;48.96;60.77;;62.9;64.13;64.07;65.24
Elciego;27.69;0.0;30.71;37.43;50.67;;52.42;53.31;53.96;54.16
Elduain;25.93;0.0;27.37;37.63;46.97;;50.25;50.99;53.85;55.83
Elgeta;37.15;0.0;38.74;46.75;58.85;;62.53;63.62;63.85;64.41
Elgoibar;35.95;0.0;37.85;45.73;56.02;;57.93;58.84;59.35;59.86
Elorrio;33.67;0.0;36.48;44.46;54.51;;57.22;57.76;58.92;59.56
Elvillar/Bilar;13.4;0.0;18.77;25.71;36.17;;38.63;39.94;41.28;41.38
Erandio;28.77;0.0;31.37;40.74;52.45;;54.58;55.03;55.8;56.46
Ereño;39.06;0.0;40.41;50.4;57.26;;59.24;62.13;63.18;65.15
Ermua;27.65;0.0;29.07;34.93;44.84;;46.8;47.57;48.01;48.93
Errenteria;35.62;0.0;35.51;43.35;54.15;;56.14;56.87;57.63;58.35
Errezil;11.84;0.0;15.03;26.09;35.0;;38.62;39.02;41.12;40.85
Erriberagoitia/Ribera Alta;32.44;0.0;32.09;44.56;55.6;;57.5;57.79;58.75;59.24
Errigoiti;27.25;0.0;34.76;42.44;55.21;;62.05;62.83;62.47;62.81
Eskoriatza;33.41;0.0;37.72;44.38;56.23;;57.5;59.14;59.65;60.49
Etxebarri;22.87;0.0;29.23;42.14;57.78;;60.51;61.36;61.94;62.31
Etxebarria;42.96;0.0;21.78;50.74;63.42;;66.12;67.53;67.8;67.65
Ezkio-Itsaso;36.93;0.0;36.49;46.31;56.12;;61.66;60.62;60.89;62.66
Forua;34.03;0.0;37.35;46.86;60.04;;61.63;62.5;63.46;63.4
Fruiz;30.98;0.0;33.64;52.2;61.13;;64.14;67.08;67.09;68.15
Gabiria;35.73;0.0;37.43;45.55;57.63;;61.34;63.23;62.5;64.43
Gaintza;26.83;0.0;23.33;38.52;50.89;;51.82;53.21;55.45;56.36
Galdakao;37.75;0.0;40.15;48.17;58.93;;61.04;61.74;62.34;63.0
Galdames;35.18;0.0;42.03;51.09;60.98;;61.19;61.86;64.46;66.13
Gaztelu;11.19;0.0;23.57;35.03;39.46;;46.75;51.61;50.0;48.23
Gernika-Lumo;40.78;0.0;41.71;49.93;58.77;;61.37;62.23;62.89;63.6
Getaria;31.37;0.0;35.52;44.46;54.95;;58.28;59.39;60.78;62.51
Gizaburuaga;28.35;0.0;37.98;48.45;62.36;;63.64;64.17;64.89;65.57
Gordexola;38.07;0.0;39.67;52.18;59.54;;63.0;63.93;64.85;66.05
Güeñes;30.29;0.0;33.53;43.24;54.44;;56.85;57.24;58.08;59.38
Harana/Valle de Arana;15.43;0.0;16.51;21.77;31.34;;31.64;32.4;33.76;34.05
Hernani;36.67;0.0;40.38;46.71;58.64;;61.34;61.73;62.28;63.08
Hernialde;22.93;0.0;25.93;40.89;49.67;;50.17;49.04;50.68;54.27
Ibarra;31.16;0.0;35.44;43.96;52.29;;53.09;54.08;55.41;56.25
Idiazabal;35.01;0.0;36.11;47.46;56.74;;59.05;59.14;59.5;60.84
Igorre;33.78;0.0;37.97;47.01;57.57;;58.56;59.47;60.32;60.89
Ikaztegieta;30.0;0.0;32.85;44.96;61.87;;62.71;63.44;64.22;63.51
Irun;39.35;0.0;40.09;49.16;60.52;;62.08;62.46;62.84;63.32
Iruraiz-Gauna;29.64;0.0;35.9;42.67;54.03;;57.31;58.92;59.76;61.74
Iruña Oka/Iruña de Oca;26.78;0.0;34.7;42.37;57.36;;60.34;60.82;60.61;61.57
Ispaster;28.11;0.0;35.16;43.17;51.58;;57.3;57.33;58.66;59.39
Itsasondo;28.45;0.0;32.5;40.89;52.36;;55.4;56.32;58.07;56.64
Iurreta;30.32;0.0;34.08;40.39;50.33;;50.98;52.2;53.39;53.34
Karrantza Harana/Valle de Carranza;24.18;0.0;26.97;35.17;44.73;;46.78;46.87;47.33;49.32
Kortezubi;27.0;0.0;36.66;47.84;61.05;;64.52;65.92;66.83;65.97
Kripan;24.19;0.0;22.81;31.71;43.27;;48.0;47.65;49.1;50.29
Kuartango;26.75;0.0;34.84;41.57;53.2;;56.21;58.02;58.46;58.13
Labastida/Bastida;22.85;0.0;36.21;39.29;52.06;;53.13;53.79;55.28;57.11
Lagrán;21.39;0.0;24.35;31.25;39.55;;44.71;45.62;47.85;50.0
Laguardia;27.96;0.0;30.08;38.97;51.03;;53.51;53.96;54.49;55.88
Lanciego/Lantziego;20.57;0.0;25.21;34.22;44.17;;45.89;45.41;45.8;46.71
Lanestosa;23.16;0.0;15.41;36.27;41.06;;42.26;42.91;46.13;45.83
Lantarón;31.58;0.0;39.03;40.81;52.83;;52.97;54.28;55.52;56.57
Lapuebla de Labarca;19.42;0.0;24.59;31.59;43.77;;47.24;47.83;47.69;49.42
Larraul;9.68;0.0;19.35;39.05;50.0;;58.49;59.15;57.62;59.35
Lasarte-Oria;34.83;0.0;36.25;42.72;52.81;;54.89;55.46;55.79;56.52
Laudio/Llodio;37.28;0.0;38.78;45.19;55.17;;56.75;57.36;57.82;58.38
Lazkao;31.83;0.0;36.49;43.8;54.84;;56.81;57.65;58.12;59.67
Leaburu;15.56;0.0;25.0;30.47;43.62;;44.27;44.0;45.03;48.11
Legazpi;35.6;0.0;33.21;43.61;53.18;;55.03;55.73;56.82;57.86
